transaction_id,account_id,transaction_type,amount
161,754,Withdrawal,4646.55
162,416,Withdrawal,587.93
163,923,Withdrawal,4092.31
164,194,Withdrawal,783.32
165,875,Deposit,2801.13
166,72,Withdrawal,736.06
167,964,Withdrawal,984.51
168,438,Withdrawal,3580.72
169,669,Withdrawal,2663.7
170,202,Withdrawal,930.85
171,641,Withdrawal,4914.65
172,741,Withdrawal,3337.31
173,469,Withdrawal,4805.38
174,787,Deposit,3333.31
175,902,Withdrawal,2328.05
176,622,Deposit,1619.43
177,428,Withdrawal,1517.78
178,554,Deposit,2251.69
179,241,Withdrawal,1237.46
180,727,Deposit,2046.24
181,860,Withdrawal,4088.45
182,716,Withdrawal,1904.78
183,154,Deposit,1319.12
184,909,Withdrawal,4194.02
185,93,Withdrawal,4316.18
186,939,Deposit,919.31
187,729,Withdrawal,4434.98
188,354,Deposit,2844.46
189,480,Deposit,4860.25
190,546,Withdrawal,2513.96
191,394,Withdrawal,4016.43
192,203,Deposit,4573.36
193,921,Withdrawal,3449.04
194,436,Deposit,4376.04
195,973,Withdrawal,3732.28
196,109,Withdrawal,1592.26
197,458,Deposit,4296.91
198,595,Deposit,3508.56
199,122,Deposit,723.9
200,918,Withdrawal,1519.9
201,865,Deposit,4348.37
202,633,Withdrawal,4997.96
203,188,Deposit,2585.41
204,767,Withdrawal,4104.28
205,203,Withdrawal,1471.1
206,524,Deposit,2463.08
207,589,Deposit,4212.06
208,780,Deposit,3183.1
209,286,Deposit,3941.32
210,943,Deposit,2530.67
211,167,Deposit,526.26
212,97,Deposit,2609.88
213,333,Withdrawal,3293.59
214,16,Withdrawal,4027.66
215,66,Deposit,1621.39
216,50,Withdrawal,634.89
217,297,Withdrawal,2234.13
218,192,Withdrawal,3721.26
219,292,Withdrawal,627.69
220,984,Withdrawal,1734.21
221,561,Deposit,816.32
222,929,Deposit,3430.14
223,78,Withdrawal,4427.52
224,507,Withdrawal,2102.5
225,76,Withdrawal,4203.07
226,172,Withdrawal,4583.06
227,882,Deposit,2618.94
228,799,Deposit,3257.35
229,974,Withdrawal,1209.44
230,462,Deposit,1582.83
231,999,Withdrawal,4284.04
232,506,Deposit,2805.46
233,907,Deposit,3317.3
234,908,Deposit,526.54
235,629,Deposit,2014.23
236,144,Withdrawal,2637.32
237,201,Deposit,752.91
238,288,Deposit,813.65
239,378,Withdrawal,3646.6
240,723,Deposit,2909.31
241,847,Deposit,3184.62
242,671,Withdrawal,4448.48
243,858,Deposit,3089.83
244,398,Withdrawal,3293.7
245,899,Deposit,1894.38
246,795,Deposit,2870.29
247,208,Deposit,2540.21
248,469,Withdrawal,3217.8
249,576,Withdrawal,4972.84
250,670,Deposit,2980.93
251,383,Deposit,4166.38
252,417,Withdrawal,1395.29
253,331,Deposit,2287.66
254,641,Deposit,962.59
255,908,Deposit,2095.29
256,737,Withdrawal,1535.4
257,63,Withdrawal,1343.06
258,769,Withdrawal,1738.23
259,552,Withdrawal,1503.59
260,111,Deposit,3863.39
261,318,Withdrawal,2826.76
262,300,Withdrawal,2913.23
263,917,Deposit,1949.69
264,628,Withdrawal,1138.12
265,281,Deposit,3985.45
266,330,Withdrawal,548.22
267,613,Withdrawal,4802.43
268,417,Withdrawal,1933.1
269,658,Withdrawal,727.34
270,3,Deposit,4410.87
271,127,Deposit,1511.54
272,644,Withdrawal,4004.52
273,911,Deposit,2081.16
274,112,Deposit,572.21
275,100,Deposit,4084.15
276,836,Deposit,1691.38
277,78,Deposit,3921.68
278,2,Deposit,781.34
279,420,Withdrawal,1609.81
280,214,Withdrawal,3756.53
281,622,Withdrawal,3559.78
282,964,Deposit,3828.79
283,437,Withdrawal,4670.49
284,771,Deposit,1212.54
285,725,Deposit,2106.37
286,876,Withdrawal,4059.32
287,542,Withdrawal,2756.24
288,585,Deposit,3130.44
289,919,Withdrawal,3251.72
290,691,Withdrawal,2791.17
291,584,Deposit,3052.04
292,98,Withdrawal,2869.84
293,802,Withdrawal,3156.24
294,108,Deposit,2484.87
295,691,Deposit,2296.08
296,583,Deposit,2399.71
297,738,Withdrawal,3605.63
298,146,Deposit,4991.89
299,384,Withdrawal,972.7
300,974,Deposit,3742.22
301,878,Deposit,1776.76
302,229,Deposit,2745.91
303,326,Deposit,4646.16
304,189,Withdrawal,696.43
305,535,Withdrawal,3638.36
306,305,Deposit,2646.47
307,910,Withdrawal,2346.71
308,975,Withdrawal,2350.41
309,41,Deposit,2954.3
310,685,Deposit,4323.29
311,885,Withdrawal,1422.71
312,77,Deposit,3737.22
313,243,Deposit,2340.91
314,632,Withdrawal,3840.05
315,53,Deposit,4558.59
316,722,Withdrawal,2288.76
317,91,Withdrawal,4673.89
318,695,Withdrawal,1033.33
319,566,Withdrawal,749.95
320,394,Deposit,4825.41
321,272,Deposit,1633.6
322,569,Deposit,3578.47
323,339,Withdrawal,2036.7
324,36,Withdrawal,4016.5
325,653,Deposit,1907.51
326,776,Withdrawal,648.01
327,387,Deposit,2064.52
328,267,Withdrawal,2845.68
329,307,Deposit,1647.05
330,799,Deposit,3497.85
331,28,Withdrawal,1406.28
332,428,Deposit,2858.3
333,564,Deposit,571.47
334,772,Withdrawal,4413.16
335,56,Deposit,4538.78
336,324,Deposit,4041.4
337,432,Deposit,1030.53
338,256,Deposit,2389.94
339,599,Deposit,1168.85
340,687,Withdrawal,613.83
341,289,Deposit,2798.3
342,892,Withdrawal,4293.73
343,993,Deposit,2971.53
344,787,Deposit,4029.86
345,24,Deposit,2621.23
346,810,Deposit,1543.86
347,163,Deposit,1516.01
348,651,Withdrawal,1764.52
349,762,Deposit,3324.08
350,300,Deposit,1144.75
351,924,Deposit,4492.79
352,510,Withdrawal,4346.15
353,814,Deposit,4062.79
354,493,Deposit,4235.04
355,723,Deposit,3678.46
356,360,Withdrawal,806.7
357,752,Withdrawal,2933.54
358,783,Deposit,2521.8
359,65,Withdrawal,3446.88
360,764,Deposit,3100.54
361,872,Deposit,4430.08
362,566,Withdrawal,656.09
363,313,Withdrawal,2989.78
364,929,Deposit,1290.79
365,835,Withdrawal,1452.41
366,808,Deposit,1677.53
367,704,Deposit,2967.34
368,322,Deposit,2131.14
369,779,Withdrawal,3474.06
370,381,Deposit,3751.6
371,37,Deposit,1766.1
372,399,Deposit,2281.01
373,241,Withdrawal,3378.41
374,37,Withdrawal,2406.01
375,593,Withdrawal,4572.51
376,286,Withdrawal,835.5
377,140,Deposit,977.65
378,850,Deposit,2893.92
379,39,Withdrawal,2921.1
380,951,Deposit,3852.12
381,903,Withdrawal,2227.84
382,286,Withdrawal,4741.26
383,367,Deposit,2671.14
384,116,Withdrawal,550.97
385,384,Deposit,4643.4
386,160,Deposit,4894.29
387,630,Deposit,4747.95
388,525,Withdrawal,4059.68
389,932,Deposit,3844.01
390,539,Withdrawal,3563.38
391,849,Deposit,2992.77
392,585,Withdrawal,3483.9
393,805,Deposit,4364.26
394,7,Withdrawal,1853.29
395,199,Withdrawal,2208.53
396,693,Deposit,2040.92
397,564,Withdrawal,4952.81
398,48,Deposit,4728.09
399,175,Withdrawal,4127.31
400,517,Withdrawal,936.47
401,538,Deposit,2579.43
402,769,Withdrawal,4936.13
403,192,Withdrawal,4781.62
404,639,Withdrawal,4352.13
405,28,Withdrawal,2488.54
406,835,Deposit,1410.21
407,684,Withdrawal,2228.77
408,718,Deposit,2426.39
409,154,Withdrawal,4745.04
410,352,Deposit,2618.15
411,161,Deposit,2332
412,875,Withdrawal,3345.96
413,383,Deposit,4072.47
414,950,Withdrawal,558.72
415,745,Deposit,2276.83
416,596,Deposit,1945.99
417,650,Deposit,1231.18
418,738,Deposit,1040.56
419,562,Withdrawal,3113.6
420,100,Deposit,1783.37
421,135,Deposit,3181.29
422,750,Withdrawal,585.76
423,954,Deposit,2908.16
424,312,Withdrawal,3300.07
425,860,Withdrawal,2066.88
426,850,Withdrawal,2393.09
427,894,Withdrawal,1563.85
428,208,Deposit,2567.05
429,160,Withdrawal,2070.69
430,750,Withdrawal,1588.92
431,83,Deposit,3694.81
432,531,Withdrawal,3493.98
433,226,Deposit,2587.35
434,949,Deposit,2358.45
435,883,Deposit,3509.56
436,617,Withdrawal,2714.84
437,271,Withdrawal,2952.57
438,249,Withdrawal,612.29
439,123,Deposit,588.87
440,207,Withdrawal,3758.15
441,32,Deposit,4448.81
442,608,Withdrawal,4566.94
443,327,Withdrawal,1233.5
444,674,Deposit,1131.56
445,688,Deposit,2240.17
446,216,Withdrawal,2738.55
447,784,Withdrawal,2923.34
448,449,Deposit,4157.89
449,181,Deposit,1146.37
450,971,Deposit,4521.16
451,639,Withdrawal,4013.92
452,568,Withdrawal,684.78
453,767,Deposit,763.08
454,730,Withdrawal,3895.26
455,919,Withdrawal,805.84
456,457,Withdrawal,517.88
457,293,Withdrawal,2117.08
458,948,Deposit,1786.1
459,515,Withdrawal,829.14
460,670,Deposit,4021.94
461,271,Deposit,3623.04
462,40,Withdrawal,1541.63
463,353,Withdrawal,1108.92
464,685,Withdrawal,3858.41
465,419,Deposit,2679.64
466,276,Withdrawal,2535.34
467,885,Deposit,1107.16
468,97,Withdrawal,2496.32
469,284,Withdrawal,843.5
470,668,Deposit,4658.78
471,856,Withdrawal,623.61
472,302,Withdrawal,1108.24
473,4,Withdrawal,3535.7
474,353,Withdrawal,3537.45
475,366,Deposit,713.27
476,251,Deposit,2773.69
477,568,Withdrawal,2045.29
478,812,Withdrawal,1824.89
479,143,Deposit,3471.89
480,530,Deposit,2067.62
481,341,Deposit,4128.67
482,70,Deposit,2522.47
483,526,Deposit,1033.36
484,525,Deposit,2439.12
485,661,Deposit,1982.37
486,407,Deposit,2437.53
487,859,Deposit,3289.75
488,346,Deposit,2115.72
489,387,Deposit,1474.53
490,22,Deposit,739.9
491,951,Deposit,2250.56
492,563,Deposit,4512.44
493,30,Withdrawal,3815.98
494,557,Withdrawal,4916.09
495,490,Deposit,684.61
496,320,Withdrawal,1858.7
497,861,Withdrawal,1436.84
498,206,Withdrawal,2386.81
499,324,Deposit,4649.55
500,223,Deposit,3473.4
501,743,Withdrawal,4591.88
502,377,Withdrawal,1271.93
503,471,Deposit,2508.85
504,931,Deposit,2716.98
505,521,Deposit,4245.13
506,188,Deposit,1964.21
507,644,Deposit,1622.8
508,415,Deposit,587.32
509,263,Withdrawal,969.14
510,66,Deposit,3653.45
511,459,Deposit,796.66
512,743,Withdrawal,3253.13
513,906,Deposit,1500.14
514,256,Withdrawal,1652.13
515,171,Deposit,1010.96
516,741,Deposit,1241.45
517,911,Withdrawal,2026.44
518,683,Deposit,1797.36
519,789,Deposit,1476.73
520,55,Deposit,2355.1
521,870,Withdrawal,2643.72
522,639,Deposit,1219.89
523,136,Withdrawal,1544.33
524,658,Withdrawal,4390.19
525,166,Deposit,3811.41
526,260,Withdrawal,995.01
527,305,Withdrawal,3949.66
528,215,Deposit,2686
529,514,Deposit,3838.55
530,254,Withdrawal,1083.11
531,738,Withdrawal,3643.72
532,873,Deposit,4127.8
533,211,Withdrawal,2355.14
534,740,Deposit,2225.44
535,576,Withdrawal,4479.58
536,363,Withdrawal,4149.41
537,657,Deposit,3007.45
538,130,Deposit,4665.69
539,100,Withdrawal,3148.38
540,976,Deposit,2627.28
541,351,Deposit,695.37
542,216,Withdrawal,3855.72
543,845,Deposit,1892.92
544,396,Deposit,3462.01
545,518,Deposit,1582.68
546,599,Withdrawal,4782.62
547,487,Deposit,555.61
548,205,Withdrawal,1945.52
549,364,Deposit,3727.78
550,819,Withdrawal,2152.06
551,209,Deposit,4715.58
552,448,Deposit,672.07
553,377,Withdrawal,3002.06
554,737,Withdrawal,2453.76
555,508,Withdrawal,4769.7
556,950,Deposit,1888.38
557,721,Withdrawal,2592.12
558,637,Deposit,2525.14
559,395,Withdrawal,2794.44
560,251,Withdrawal,902.77
561,602,Withdrawal,1910.78
562,294,Withdrawal,1397.73
563,744,Deposit,3209.87
564,527,Deposit,4655.06
565,539,Deposit,3629.87
566,456,Withdrawal,4020.9
567,526,Withdrawal,1876.25
568,156,Deposit,900.12
569,208,Deposit,3673.01
570,101,Deposit,927.46
571,884,Deposit,1775.39
572,233,Deposit,3144.89
573,575,Withdrawal,1960.58
574,382,Withdrawal,4955.21
575,733,Deposit,2919.02
576,542,Deposit,4619.31
577,550,Deposit,4771.76
578,681,Deposit,1473.93
579,562,Deposit,1554.65
580,262,Deposit,609.65
581,443,Withdrawal,3895.26
582,591,Withdrawal,3400.57
583,5,Deposit,4138.82
584,500,Deposit,2485.28
585,979,Deposit,3667.08
586,598,Deposit,1999.06
587,843,Deposit,3827.5
588,443,Withdrawal,3087.94
589,19,Deposit,3819.78
590,589,Withdrawal,3857.79
591,600,Deposit,2764.77
592,769,Withdrawal,3813.22
593,366,Withdrawal,1512.53
594,240,Deposit,1801.15
595,332,Withdrawal,4577.85
596,83,Withdrawal,3189.52
597,69,Withdrawal,4224.01
598,95,Withdrawal,2671.22
599,499,Withdrawal,2474.19
600,354,Withdrawal,2060.77
601,996,Withdrawal,846.28
602,252,Deposit,4505.76
603,731,Deposit,2505.02
604,343,Withdrawal,2995.55
605,41,Withdrawal,938.95
606,848,Withdrawal,3416.3
607,221,Deposit,3698.89
608,826,Deposit,718.48
609,255,Deposit,2379.37
610,500,Withdrawal,3257.56
611,525,Withdrawal,668.88
612,89,Withdrawal,1381.87
613,519,Withdrawal,2172.29
614,382,Deposit,557.76
615,436,Withdrawal,4734.19
616,766,Withdrawal,3907.12
617,702,Deposit,1397.7
618,202,Deposit,3184.85
619,293,Deposit,3151.35
620,938,Withdrawal,1601.93
621,185,Withdrawal,2489.88
622,690,Withdrawal,1049.98
623,468,Deposit,4683.39
624,888,Withdrawal,2259.87
625,449,Deposit,3906.78
626,937,Withdrawal,3222.99
627,884,Withdrawal,1183.58
628,282,Withdrawal,1208.12
629,502,Withdrawal,4166.39
630,921,Deposit,4660.15
631,953,Deposit,3693.2
632,159,Withdrawal,3973.36
633,390,Deposit,2925.9
634,36,Withdrawal,1694.43
635,93,Deposit,4265.74
636,508,Deposit,4866.89
637,879,Deposit,3254.85
638,290,Withdrawal,3669.02
639,245,Withdrawal,1138.3
640,529,Withdrawal,4006.99
641,147,Withdrawal,752.4
642,526,Deposit,4762.08
643,439,Withdrawal,2649.93
644,594,Deposit,3764.43
645,689,Deposit,1527.57
646,603,Withdrawal,2028.38
647,512,Withdrawal,3037.66
648,632,Deposit,4439.11
649,166,Deposit,905.49
650,524,Deposit,1094.01
651,36,Withdrawal,2394.97
652,900,Deposit,694.05
653,988,Deposit,2653.61
654,57,Deposit,2274.96
655,238,Deposit,3480.74
656,921,Deposit,2476.54
657,525,Withdrawal,4421.22
658,221,Withdrawal,4285.47
659,781,Withdrawal,1887.58
660,962,Deposit,1557.36
661,880,Withdrawal,3402.82
662,327,Withdrawal,2566.83
663,174,Deposit,997.5
664,600,Withdrawal,4386.94
665,909,Withdrawal,739.94
666,72,Deposit,1939.78
667,225,Deposit,1543.63
668,265,Withdrawal,4979.38
669,273,Deposit,593.35
670,805,Withdrawal,3505.45
671,854,Deposit,3531.03
672,650,Withdrawal,1418.11
673,12,Withdrawal,1291.27
674,736,Withdrawal,4042.71
675,398,Deposit,544.58
676,528,Withdrawal,3387.26
677,466,Deposit,3545.64
678,587,Withdrawal,1279.43
679,904,Withdrawal,3668.97
680,561,Deposit,1926.45
681,279,Withdrawal,3175.68
682,907,Deposit,4614.91
683,555,Withdrawal,1408.86
684,112,Withdrawal,4917.83
685,747,Deposit,4931.44
686,730,Withdrawal,3388.99
687,407,Withdrawal,3590.01
688,237,Withdrawal,4895.75
689,553,Deposit,4409.62
690,839,Deposit,2888.86
691,279,Deposit,2839.68
692,829,Deposit,1055.47
693,197,Withdrawal,879.37
694,955,Withdrawal,4202.24
695,701,Deposit,2180.37
696,339,Withdrawal,1766.78
697,190,Withdrawal,635.11
698,571,Withdrawal,2387.97
699,891,Withdrawal,4843.77
700,866,Withdrawal,3020.1
701,829,Deposit,2260.92
702,137,Withdrawal,4497.65
703,951,Deposit,1499.34
704,268,Withdrawal,4535.59
705,38,Withdrawal,2194.45
706,952,Withdrawal,4410.85
707,52,Deposit,3770.25
708,86,Withdrawal,3146.32
709,131,Deposit,3709.13
710,215,Deposit,2492.64
711,330,Withdrawal,1390.59
712,540,Deposit,4073.01
713,855,Deposit,3546.28
714,868,Deposit,4615.23
715,429,Deposit,3330.05
716,732,Withdrawal,1667.32
717,535,Withdrawal,4004.43
718,959,Withdrawal,4267.57
719,141,Deposit,4233.46
720,591,Withdrawal,952.44
721,461,Withdrawal,4425.61
722,60,Withdrawal,1965.47
723,559,Deposit,4582.16
724,552,Withdrawal,3320.71
725,122,Withdrawal,2891.45
726,426,Deposit,4609.44
727,903,Withdrawal,1945.24
728,732,Withdrawal,3273.55
729,31,Withdrawal,4680.03
730,333,Deposit,3411.96
731,256,Withdrawal,1373.35
732,761,Withdrawal,1678.18
733,613,Withdrawal,1543.44
734,450,Deposit,2134.68
735,477,Deposit,501.55
736,479,Withdrawal,3396.95
737,810,Withdrawal,1595.64
738,596,Deposit,3644.73
739,789,Withdrawal,4715.63
740,819,Withdrawal,2051.26
741,537,Withdrawal,2942.09
742,82,Withdrawal,3159.86
743,840,Deposit,3471.72
744,836,Withdrawal,2785.31
745,839,Deposit,594.96
746,661,Deposit,3645.87
747,307,Withdrawal,1989.45
748,706,Deposit,3632.93
749,929,Withdrawal,1837.72
750,435,Deposit,4209.18
751,431,Deposit,3081.12
752,968,Deposit,1871.11
753,247,Deposit,2368.28
754,962,Withdrawal,1234.84
755,660,Deposit,4306.4
756,392,Deposit,4870.65
757,399,Withdrawal,2186.81
758,762,Deposit,2516.89
759,804,Withdrawal,2577.43
760,46,Deposit,3703.57
761,256,Withdrawal,3114
762,611,Withdrawal,980.21
763,885,Deposit,2814.43
764,946,Deposit,2850.12
765,924,Withdrawal,1362.53
766,175,Deposit,4937.17
767,487,Deposit,1585.75
768,97,Deposit,1537.89
769,62,Withdrawal,3685.45
770,620,Deposit,3229.85
771,457,Deposit,1788.16
772,606,Deposit,1696
773,446,Withdrawal,1251.43
774,66,Withdrawal,3843.39
775,340,Deposit,4397.68
776,694,Withdrawal,4242.28
777,902,Deposit,1914.32
778,309,Withdrawal,2117.85
779,323,Deposit,1894.04
780,230,Withdrawal,1899.73
781,354,Deposit,3788.13
782,984,Deposit,2980.85
783,407,Withdrawal,890.63
784,448,Deposit,3753.29
785,150,Withdrawal,3603.49
786,149,Withdrawal,2473.99
787,484,Withdrawal,2812.64
788,138,Deposit,4154.26
789,93,Deposit,2107.64
790,261,Withdrawal,4958.93
791,520,Withdrawal,2377.74
792,290,Withdrawal,1929.9
793,43,Deposit,1432.43
794,793,Withdrawal,3201.98
795,318,Withdrawal,4429.78
796,557,Withdrawal,3179.04
797,38,Withdrawal,1770.47
798,169,Withdrawal,3701.43
799,623,Withdrawal,1976.42
800,368,Deposit,4879.54
801,740,Deposit,3928.64
802,26,Withdrawal,674.39
803,55,Withdrawal,1461.04
804,754,Withdrawal,2558.76
805,127,Deposit,1387.8
806,856,Deposit,1084.81
807,839,Deposit,2224.71
808,795,Deposit,4731.83
809,696,Deposit,1786.51
810,656,Withdrawal,1825.04
811,329,Withdrawal,2382.49
812,661,Withdrawal,3384.68
813,789,Withdrawal,3262.39
814,334,Deposit,3734.57
815,236,Withdrawal,2964.66
816,746,Deposit,4130.69
817,882,Deposit,3900.9
818,603,Withdrawal,4848.67
819,546,Withdrawal,4352.34
820,125,Deposit,3992.62
821,176,Withdrawal,2380.16
822,656,Withdrawal,4570.37
823,636,Withdrawal,4019.42
824,453,Withdrawal,4949.91
825,451,Withdrawal,2414.34
826,902,Deposit,1138.14
827,822,Deposit,3937.64
828,999,Deposit,2553.86
829,494,Withdrawal,1421.81
830,779,Deposit,4661.59
831,718,Deposit,3044.06
832,21,Withdrawal,4947.82
833,910,Withdrawal,3489.03
834,191,Deposit,3286.64
835,299,Withdrawal,1017.99
836,221,Withdrawal,1227.9
837,727,Deposit,2334.92
838,607,Deposit,3658.81
839,674,Deposit,579.79
840,152,Withdrawal,4033.05
841,613,Withdrawal,4568.39
842,986,Deposit,968.86
843,669,Withdrawal,1773.8
844,816,Withdrawal,1570.02
845,763,Deposit,2125.71
846,771,Withdrawal,4565.21
847,850,Deposit,4114.39
848,817,Deposit,3747.21
849,454,Withdrawal,1944.75
850,559,Deposit,1341.24
851,888,Withdrawal,4414.35
852,936,Withdrawal,3361.17
853,359,Withdrawal,2255.44
854,185,Deposit,2643.8
855,734,Deposit,2093.63
856,936,Deposit,1119.88
857,706,Withdrawal,1678.88
858,620,Withdrawal,2355.64
859,52,Withdrawal,3115.1
860,664,Withdrawal,2947.1
861,676,Withdrawal,2244.33
862,284,Deposit,3623.54
863,418,Withdrawal,3521.77
864,32,Deposit,3819.7
865,276,Deposit,1860.11
866,698,Deposit,1295.03
867,774,Withdrawal,3410.46
868,509,Deposit,4971.9
869,305,Deposit,2990.56
870,968,Deposit,794.26
871,465,Withdrawal,1629.47
872,577,Withdrawal,1885.47
873,986,Deposit,4599.04
874,629,Withdrawal,961.8
875,27,Deposit,2107.9
876,598,Withdrawal,2723.26
877,424,Withdrawal,3567.75
878,901,Deposit,1648.04
879,485,Withdrawal,1352.43
880,946,Withdrawal,1456.49
881,16,Withdrawal,2049.76
882,178,Deposit,3844.4
883,468,Withdrawal,1138.89
884,650,Deposit,2076.44
885,275,Deposit,3925.74
886,682,Withdrawal,3231.28
887,587,Deposit,3257.14
888,807,Withdrawal,3462.76
889,848,Withdrawal,2702.41
890,432,Withdrawal,1469.38
891,167,Withdrawal,2481.63
892,644,Deposit,2229.24
893,962,Withdrawal,4838.7
894,940,Deposit,655.04
895,129,Deposit,2612.27
896,576,Withdrawal,4242.16
897,933,Deposit,4834.63
898,297,Withdrawal,4580.99
899,525,Deposit,4168.24
900,359,Withdrawal,4842.55
901,652,Deposit,4247.91
902,31,Deposit,4571.73
903,845,Withdrawal,2365.16
904,132,Withdrawal,2581.5
905,123,Deposit,4716.2
906,112,Deposit,4196.88
907,148,Withdrawal,2391.14
908,506,Withdrawal,2578.37
909,1,Withdrawal,3641.82
910,143,Deposit,4875.61
911,495,Deposit,1675.11
912,268,Deposit,2877.53
913,278,Withdrawal,4058.29
914,97,Withdrawal,4792.56
915,526,Deposit,3043.44
916,191,Deposit,1121.34
917,53,Withdrawal,1531.9
918,93,Withdrawal,4891.51
919,387,Withdrawal,1307.9
920,453,Deposit,1767.55
921,384,Deposit,814.02
922,686,Deposit,2006.13
923,528,Deposit,941.04
924,963,Deposit,4669.66
925,363,Deposit,1461.87
926,51,Withdrawal,2780.35
927,301,Deposit,4079.58
928,861,Withdrawal,1169.78
929,320,Deposit,1044.99
930,159,Withdrawal,1490.69
931,268,Withdrawal,2119.01
932,313,Withdrawal,1396.8
933,677,Withdrawal,3315.13
934,433,Withdrawal,1842.18
935,819,Withdrawal,1336.84
936,444,Withdrawal,4994.37
937,571,Deposit,4080.37
